h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,Team
a,0.323445,0.852495,0.323445,0.852495,"{'att': 332, 'def': 18}","{'att': 317, 'def': 21}",9,4,2,1,0.7932,w,2021-01-12 20:15:00,1,0,0,3,-0.52905,Everton
h,0.474981,0.792045,0.474981,0.792045,"{'att': 341, 'def': 14}","{'att': 156, 'def': 25}",2,8,1,1,1.0066,d,2021-01-27 20:15:00,0,1,0,1,-0.317064,Everton
h,0.966012,2.08832,0.966012,2.08832,"{'att': 134, 'def': 20}","{'att': 310, 'def': 11}",9,5,0,2,0.6102,l,2021-01-30 12:30:00,0,0,1,0,-1.122308,Everton
a,1.91539,1.14303,1.91539,1.14303,"{'att': 291, 'def': 20}","{'att': 174, 'def': 31}",2,10,2,1,2.0048,w,2021-02-03 19:30:00,1,0,0,3,0.77236,Everton
a,1.5571,1.71769,1.5571,1.71769,"{'att': 351, 'def': 10}","{'att': 256, 'def': 24}",3,6,3,3,1.2441,d,2021-02-06 20:00:00,0,1,0,1,-0.16059,Everton
h,0.314075,2.55085,0.314075,2.55085,"{'att': 289, 'def': 22}","{'att': 353, 'def': 30}",1,9,0,2,0.0685,l,2021-02-14 19:00:00,0,0,1,0,-2.236775,Everton
h,1.04664,1.23218,1.04664,1.23218,"{'att': 432, 'def': 16}","{'att': 173, 'def': 17}",2,9,1,3,1.2189,l,2021-02-17 20:15:00,0,0,1,0,-0.18554,Everton
a,2.01468,1.54046,1.25352,1.54046,"{'att': 379, 'def': 18}","{'att': 130, 'def': 20}",1,14,2,0,1.7409,w,2021-02-20 17:30:00,1,0,0,3,-0.28694,Everton
h,1.42054,0.665743,1.42054,0.665743,"{'att': 275, 'def': 27}","{'att': 249, 'def': 31}",5,3,1,0,2.0606,w,2021-03-01 20:00:00,1,0,0,3,0.754797,Everton
a,1.40789,1.02038,1.40789,1.02038,"{'att': 248, 'def': 21}","{'att': 315, 'def': 19}",8,7,1,0,1.7,w,2021-03-04 18:00:00,1,0,0,3,0.38751,Everton
a,0.270757,2.57224,0.270757,1.81107,"{'att': 473, 'def': 26}","{'att': 219, 'def': 24}",0,6,0,2,0.0907,l,2021-03-08 18:00:00,0,0,1,0,-1.540313,Everton
h,1.69849,0.74852,1.69849,0.74852,"{'att': 130, 'def': 18}","{'att': 311, 'def': 15}",9,9,1,2,2.1591,l,2021-03-13 17:30:00,0,0,1,0,0.94997,Everton
h,2.53386,0.603749,2.53386,0.603749,"{'att': 300, 'def': 24}","{'att': 252, 'def': 17}",10,12,1,1,2.5885,d,2021-04-05 17:00:00,0,1,0,1,1.930111,Everton
a,0.306287,1.16465,0.306287,1.16465,"{'att': 277, 'def': 14}","{'att': 238, 'def': 28}",3,11,0,0,0.596,d,2021-04-12 19:15:00,0,1,0,1,-0.858363,Everton
h,2.26022,1.4815,1.49905,1.4815,"{'att': 246, 'def': 23}","{'att': 281, 'def': 18}",6,2,2,2,1.9642,d,2021-04-16 19:00:00,0,1,0,1,0.01755,Everton
a,0.529676,0.735767,0.529676,0.735767,"{'att': 355, 'def': 18}","{'att': 300, 'def': 20}",3,8,1,0,1.0815,w,2021-04-23 19:00:00,1,0,0,3,-0.206091,Everton
h,1.223,1.58811,1.223,1.58811,"{'att': 271, 'def': 17}","{'att': 239, 'def': 22}",8,6,1,2,1.0494,l,2021-05-01 19:00:00,0,0,1,0,-0.36511,Everton
a,1.56222,1.09704,1.56222,1.09704,"{'att': 336, 'def': 22}","{'att': 172, 'def': 27}",6,7,1,0,1.7381,w,2021-05-09 15:30:00,1,0,0,3,0.46518,Everton
a,0.975408,0.558976,0.975408,0.558976,"{'att': 313, 'def': 21}","{'att': 198, 'def': 12}",8,5,0,0,1.7121,d,2021-05-13 21:00:00,0,1,0,1,0.416432,Everton
h,1.24609,1.391,1.24609,1.391,"{'att': 193, 'def': 20}","{'att': 404, 'def': 28}",12,5,0,1,1.1866,l,2021-05-16 18:00:00,0,0,1,0,-0.14491,Everton
h,0.670997,0.265526,0.670997,0.265526,"{'att': 312, 'def': 27}","{'att': 204, 'def': 23}",4,1,1,0,1.6935,w,2021-05-19 17:00:00,1,0,0,3,0.405471,Everton
a,1.07258,2.88355,0.297804,2.88355,"{'att': 497, 'def': 26}","{'att': 200, 'def': 20}",3,9,0,5,0.3316,l,2021-05-23 15:00:00,0,0,1,0,-2.585746,Everton
